configuration,transit_window,center_time,time,phase_days,normalized_flux,injected_flux,in_transit,gp_background,gp_background_std,gp_residual
fixed_l_over_duration_5,1,489.51122690278135,489.38597504758945,-0.12525185519189108,-0.00014394764724334763,-0.00014394764724334763,False,-0.00020557748744905353,2.6822958617637146e-05,6.16298402057059e-05
fixed_l_over_duration_5,1,489.51122690278135,489.40640916773555,-0.10481773504579905,-0.00016490814684200217,-0.00016490814684200217,False,-0.00020359193945481227,2.6823825357669532e-05,3.86837926128101e-05
fixed_l_over_duration_5,1,489.51122690278135,489.4268433878242,-0.08438351495715324,-0.00022609014567032126,-0.00022609014567032126,False,-0.00020162096395036713,2.6824156526248447e-05,-2.4469181719954133e-05
fixed_l_over_duration_5,1,489.51122690278135,489.4472777079063,-0.06394919487502193,-0.00012502654760571108,-0.001125026547605711,True,-0.00019966857172093325,2.6823930368348745e-05,-0.0009253579758847779
fixed_l_over_duration_5,1,489.51122690278135,489.46771192799497,-0.043514974786376115,-0.0001965188462366152,-0.0011965188462366152,True,-0.00019773858457721534,2.682312885422224e-05,-0.0009987802616593998
fixed_l_over_duration_5,1,489.51122690278135,489.48814604802465,-0.02308085475669941,-0.00012751914755804172,-0.0011275191475580417,True,-0.00019583458698229579,2.6821738226050662e-05,-0.000931684560575746
fixed_l_over_duration_5,1,489.51122690278135,489.50858036804857,-0.0026465347327757627,-0.0002010508461498528,-0.0012010508461498528,True,-0.00019395990903780844,2.6819749431807375e-05,-0.0010070909371120444
fixed_l_over_duration_5,1,489.51122690278135,489.52901448807825,0.017787585296900943,-0.000131144747488543,-0.001131144747488543,True,-0.00019211771018891799,2.6817158607235568e-05,-0.000939027037299625
fixed_l_over_duration_5,1,489.51122690278135,489.5494487080505,0.03822180526913144,-0.00020286364611521446,-0.0012028636461152145,True,-0.00019031084369606964,2.6813967225892493e-05,-0.001012552802419145
fixed_l_over_duration_5,1,489.51122690278135,489.5698830280162,0.05865612523484742,-0.00012026794769681715,-0.0011202679476968172,True,-0.00018854194227675708,2.681018237676959e-05,-0.0009317260054200601
fixed_l_over_duration_5,1,489.51122690278135,489.59031714792945,0.0790902451481088,-0.00016218894689412622,-0.0011621889468941262,True,-0.0001868134103184437,2.6805816876970036e-05,-0.0009753755365756825
fixed_l_over_duration_5,1,489.51122690278135,489.6107513678435,0.09952446506213164,-0.00014190824728244067,-0.00014190824728244067,False,-0.00018512734327721654,2.680088903830957e-05,4.321909599477587e-05
fixed_l_over_duration_5,1,489.51122690278135,489.631185687751,0.11995878496963996,-0.00018439574646877954,-0.00018439574646877954,False,-0.00018348560232088422,2.679542267999345e-05,-9.101441478953241e-07
